firm_id,year,revenue,expenses,employees,rd_spend,debt,profit_margin
49,2020,256982.89,323042.68,227,91990.64,243510.03,0.125
50,2020,522374.52,388442.19,68,60459.29,174127.28,0.163
51,2021,420585.62,449892.7,173,64141.5,226397.03,0.165
52,2020,602292.0,391293.31,366,97590.92,197951.6,0.138
53,2017,404897.51,134321.32,312,117148.49,278823.52,0.111
54,2018,486231.63,184838.07,87,80638.15,196402.44,0.115
55,2021,560598.47,243766.33,69,89264.99,75887.73,0.104
56,2018,603890.62,302348.19,171,131066.45,288334.51,0.108
57,2022,355964.43,346589.31,38,87222.6,136598.74,0.147
58,2015,459859.85,234683.06,119,158050.49,154236.36,0.114
59,2017,443006.56,316809.01,79,96965.29,158303.71,0.184
60,2019,421600.49,232015.54,186,27177.12,296210.67,0.224
61,2017,711854.51,244963.4,221,102600.25,50502.81,0.121
62,2021,548597.81,173400.5,364,91434.75,419642.4,0.162
63,2019,348693.93,216909.01,165,118692.58,273923.98,0.175
64,2015,610143.43,178348.39,422,100195.44,215626.72,0.174
65,2021,754658.74,212171.41,183,75846.32,196157.42,0.154
66,2016,623895.83,394827.76,477,43271.05,219988.79,0.187
67,2018,317675.6,214554.1,458,73729.3,236478.57,0.174
68,2015,441891.91,536914.39,261,54484.39,245165.09,0.088
69,2018,652029.34,344398.61,88,62584.3,238892.31,0.193
70,2020,415079.66,316635.25,194,97657.35,206270.65,0.194
71,2016,553258.33,222747.8,68,130097.14,186186.31,0.112
72,2016,592956.09,363027.89,127,91840.15,189410.87,0.152
73,2015,388768.34,248192.6,245,44123.51,186356.42,0.184
74,2016,492856.96,310980.88,180,93338.08,279363.91,0.14
75,2019,111047.92,530407.61,138,115898.94,241548.97,0.204
76,2016,377073.48,291354.61,168,61706.51,-5827.2,0.268
77,2018,469691.82,403434.6,484,75979.48,245913.05,0.111
78,2018,350266.02,236714.12,169,80440.65,213631.53,0.081
79,2021,695889.36,296851.04,451,56453.05,198690.39,0.165
80,2018,328383.03,459372.06,312,99448.41,172803.71,0.186
81,2021,447194.66,243572.96,162,76371.56,278687.89,0.138
82,2018,515688.87,463120.37,438,92585.97,266326.85,0.223
83,2019,672952.79,363697.67,495,53375.23,145898.56,0.083
84,2022,327696.54,249377.99,474,66876.25,228493.66,0.185
85,2021,639579.65,356916.7,179,101671.44,131984.03,0.12
86,2017,501227.97,387529.9,30,68815.01,103426.73,0.236
87,2020,382218.96,355962.9,157,131808.92,156129.79,0.25
88,2015,555452.42,158679.78,476,68010.91,260367.54,0.112
89,2018,523887.16,234557.65,97,86740.54,266718.75,0.123
90,2016,427973.97,277723.32,96,107977.72,235915.98,0.193
91,2022,508376.25,293300.99,460,37449.03,250756.71,0.131
92,2018,453762.37,355860.49,273,27175.74,236132.48,0.148
93,2016,513622.08,315993.09,428,34230.31,155096.29,0.151
94,2020,579455.68,179819.01,277,117877.52,230234.58,0.054
95,2020,690322.02,334217.81,339,63444.26,256028.67,0.149
96,2020,351462.14,354952.72,310,156745.98,252800.39,0.116
97,2016,755964.0,350381.14,282,63072.57,283223.94,0.125
98,2018,265749.46,397270.27,104,85536.54,249581.27,0.222
99,2020,481785.79,375052.99,165,126263.3,224601.37,0.087
100,2019,570598.06,341326.21,342,140182.79,274910.52,0.191
101,2021,533719.02,293685.09,61,141845.11,198143.51,0.136
102,2016,425276.06,150513.52,393,116250.99,138268.77,0.136
103,2016,475025.33,338665.64,144,110721.88,188585.31,0.19
104,2018,440839.89,318691.89,186,97775.81,147856.81,0.167
105,2016,429276.23,324442.1,444,103350.83,152737.52,0.179
106,2016,601952.25,185092.63,260,63464.43,189883.69,0.198
107,2020,542841.86,202704.91,478,55454.03,144530.61,0.133
108,2018,416850.85,394783.76,299,79898.77,178442.69,0.119
109,2020,607951.99,296440.04,207,74894.46,67446.97,0.096
110,2021,536875.94,361335.06,321,66403.16,214930.56,0.109
111,2022,597543.45,302548.65,38,100891.62,200084.38,0.297
112,2021,575555.46,302678.05,87,108659.16,142803.8,0.212
113,2022,400520.6,384445.54,237,82652.21,246147.2,0.082
114,2020,432778.28,253555.97,121,124325.9,265629.91,0.084
115,2021,589675.23,308650.87,61,45749.33,87470.81,0.174
116,2018,573244.43,258395.22,307,74190.22,146609.27,0.177
117,2015,497491.81,260895.34,186,58495.33,146160.04,0.177
118,2020,514079.29,272174.51,128,24003.9,134206.78,0.137
119,2022,653319.79,319992.04,55,77519.58,258063.24,0.144
120,2019,429011.43,256912.62,251,76347.57,186432.17,0.166
121,2022,565651.69,413018.05,248,125403.49,181483.96,0.154
122,2019,475736.88,219485.34,372,98924.35,59729.63,0.039
123,2016,473878.26,283181.55,183,49274.4,244479.26,0.139
124,2021,631853.22,260424.2,406,135622.78,113251.91,0.107
125,2019,599049.96,430228.01,92,116631.01,204195.28,0.159
126,2022,597621.16,317689.93,155,97462.93,219416.39,0.299
127,2016,656657.46,392866.01,372,73205.48,295246.1,0.168
128,2015,502520.46,166299.57,398,51216.82,108382.57,0.134
129,2018,581834.36,324034.52,89,68833.8,-11365.85,0.196
130,2018,462767.99,380066.77,444,112662.46,212869.47,0.174
131,2018,538899.96,307405.56,215,136537.59,326035.78,0.171
132,2019,484382.83,395893.23,288,126297.31,286726.24,0.18
133,2015,511639.52,253444.04,68,65334.52,214676.16,0.253
134,2019,571418.84,426841.27,335,46411.48,165585.47,0.093
135,2021,401813.52,506900.83,149,84226.59,256498.58,0.174
136,2019,751086.47,267344.53,463,26946.82,131851.77,0.104
137,2015,379277.91,259904.77,24,89695.03,233345.04,0.178
138,2015,354297.37,430804.6,447,75571.92,235382.91,0.104
139,2021,638973.3,442161.49,46,66018.9,274214.69,0.129
140,2015,594999.52,252942.6,179,32158.91,393176.2,0.135
141,2022,574894.38,262183.19,168,95408.0,227469.12,0.199
142,2015,575401.46,274639.39,283,64018.97,164372.55,0.196
143,2018,498530.39,178999.45,249,44902.49,198209.8,0.088
144,2022,392329.48,217321.32,219,-6167.87,76164.69,0.153
145,2022,509096.55,209627.33,69,79174.55,151370.08,0.115
146,2021,418740.59,230898.22,86,133167.55,171350.23,0.087
147,2017,617014.37,296878.36,319,129837.78,163313.81,0.139
148,2017,482353.11,321079.33,400,66287.11,210664.84,0.135
149,2015,400940.34,439545.04,77,61933.64,142430.6,0.271
150,2022,461433.7,210148.14,278,94063.23,278472.15,0.172
151,2017,549551.77,388589.02,361,50048.44,200014.49,0.081
152,2017,432353.05,280741.0,345,89053.76,199348.98,0.122
153,2015,401333.55,295548.27,149,102982.41,177047.37,0.201
154,2017,529242.47,360733.75,234,116808.0,210863.35,0.254
155,2019,529395.99,198955.02,191,76995.38,257756.88,0.071
156,2016,439166.82,334416.88,277,73889.79,139300.88,0.056
157,2021,443475.4,314980.7,121,53660.52,153931.85,0.244
158,2016,527845.99,344320.61,228,55193.59,178739.18,0.169
159,2015,326229.88,326025.18,310,73205.63,105789.04,0.107
160,2018,331104.35,520977.01,373,91020.97,142651.95,0.177
161,2021,413786.69,242603.4,490,107407.54,166664.54,0.018
162,2015,474386.34,252210.27,305,55904.63,261207.24,0.15
163,2022,537308.91,243917.35,135,124780.66,218379.29,0.166
164,2018,677042.75,250007.06,283,71866.29,213551.29,0.196
165,2016,602919.15,242635.16,169,79358.98,259562.86,0.099
166,2015,480807.38,407011.49,319,57583.65,190383.97,0.154
167,2022,497718.06,427845.38,461,7272.79,227332.54,0.104
168,2021,379696.48,248632.83,55,106521.36,192774.48,0.163
169,2021,497778.42,225088.0,472,102105.32,218575.36,0.105
170,2020,465360.96,342427.4,352,71560.17,159206.89,0.13
171,2022,538726.23,250299.93,496,82009.72,29282.8,0.1
172,2019,400732.29,356963.86,306,95478.18,190600.46,0.183
173,2017,562321.58,318263.07,322,33123.62,299592.37,0.193
174,2018,683928.67,163583.03,330,64128.42,264835.08,0.138
175,2022,486948.78,439275.47,227,103827.94,267577.82,0.152
176,2020,548205.41,461628.99,125,42371.32,286529.15,0.078
177,2017,582817.28,244849.02,465,88806.74,206206.03,0.135
178,2017,451853.54,265106.86,177,39302.55,213812.1,0.147
179,2015,526891.1,325727.89,140,93992.9,156764.37,0.281
180,2017,501511.09,330101.11,74,78930.76,177874.9,0.094
181,2019,511721.13,359268.98,419,31546.05,243103.98,0.223
182,2021,407238.83,480918.41,31,114942.18,284271.91,0.2
183,2020,502941.22,284074.75,164,57962.25,190238.76,0.164
184,2017,559759.79,228153.25,419,55692.43,168486.75,0.238
185,2015,674137.23,175861.27,415,86017.08,200036.96,0.169
186,2019,615112.5,234216.3,155,114459.12,242084.47,0.169
187,2016,758381.89,297018.57,487,49525.35,98930.16,0.147
188,2021,407918.29,461510.21,22,81850.4,39267.33,0.211
189,2021,604678.48,253414.98,163,92864.5,161462.42,0.205
190,2020,522001.04,320140.92,49,100793.17,114550.13,0.119
191,2021,762776.35,298521.94,256,85293.25,164430.19,0.084
192,2017,403004.21,406955.39,298,68989.16,189655.38,0.14
193,2015,399233.38,527423.92,367,55172.29,168272.61,0.11
194,2021,428072.88,252221.81,134,82584.32,301672.73,0.147
195,2021,245132.51,255950.45,123,47835.83,222872.13,0.212
196,2016,436909.4,393974.48,137,-7640.51,221033.21,0.127
197,2016,408904.08,361370.23,24,93096.79,243554.5,0.148
198,2018,518047.25,466203.66,487,107118.05,120281.68,0.153
199,2019,541010.72,352553.54,379,9112.03,272737.83,0.192
200,2017,725140.5,267663.71,267,49708.08,194696.5,0.038
201,2021,614050.86,353158.93,383,98574.63,246933.64,0.12
202,2022,430771.56,399783.32,340,141724.86,124969.99,0.161
203,2021,392190.24,373843.4,140,80623.81,91236.89,0.21
204,2015,559030.3,345654.66,305,58159.91,257252.28,0.125
205,2018,341572.02,396000.72,168,74513.11,226348.67,0.056
206,2019,719775.05,405236.6,103,121246.29,136856.39,0.181
207,2022,641532.81,424394.31,473,60621.07,139123.58,0.118
208,2018,443698.92,358383.89,425,56024.24,278780.43,0.091
209,2020,294423.86,284959.37,485,65517.69,116741.17,0.119
210,2019,662464.68,313204.23,475,51400.14,314987.11,0.141
211,2021,486255.22,408585.81,250,83680.11,136956.55,0.12
212,2021,648537.96,226475.79,307,128740.35,244687.43,0.04
213,2019,308668.68,333180.6,180,89692.38,176996.71,0.195
214,2021,428075.0,264599.51,291,72429.39,242223.12,0.214
215,2017,500629.24,302587.03,479,71245.66,161912.02,0.183
216,2019,505637.67,415060.67,57,33104.28,188604.5,0.093
217,2018,445992.14,317198.92,245,106493.29,202864.34,0.14
218,2019,574741.99,304179.29,161,77664.88,129846.88,0.15
219,2022,371885.55,177612.95,311,74585.6,251857.7,0.18
220,2021,482914.46,367162.82,170,175793.23,164075.05,0.183
221,2017,514435.48,358093.58,133,88962.59,183998.01,0.113
222,2017,561732.66,494692.93,256,57446.27,130395.54,0.154
223,2020,585393.79,272299.96,85,67209.27,20636.64,0.173
224,2018,365042.95,319723.53,380,114453.37,186628.06,0.223
225,2016,315906.3,322444.53,360,83398.11,368883.08,0.185
226,2016,653321.22,441970.8,277,36851.66,254922.3,0.189
227,2019,539877.68,291423.4,494,107576.87,198651.77,0.154
228,2020,410181.62,325111.94,268,59955.68,181597.64,0.221
229,2015,686138.24,354710.69,476,136198.93,201572.61,0.17
230,2019,513880.96,316794.82,468,112401.44,238298.34,0.107
231,2020,641515.66,259820.97,350,66580.34,117343.1,0.22
232,2018,508102.22,317468.1,342,118430.49,278002.52,0.185
233,2018,747289.75,396626.86,199,82035.67,250076.69,0.128
234,2018,710640.9,207613.62,209,105583.21,250273.0,0.126
235,2018,470124.3,311967.27,426,94541.98,230693.3,0.165
236,2018,616588.51,236989.13,173,54609.3,201373.17,0.173
237,2020,577445.11,407554.2,215,60693.51,247100.29,0.16
238,2020,664235.79,162913.18,485,110898.82,241426.99,0.166
239,2017,384209.18,249697.03,330,69956.74,175217.15,0.235
240,2022,582326.18,333949.07,281,67890.55,159847.88,0.204
241,2016,627010.94,440897.16,438,51346.32,207129.94,0.16
242,2021,288951.26,294082.48,425,92707.97,308431.41,0.197
243,2018,358008.98,250032.04,446,141875.75,113262.5,0.098
244,2015,255292.14,469304.14,162,47974.01,97273.23,0.17
245,2021,467671.18,169678.75,361,80726.58,211533.26,0.24
246,2020,586105.07,102107.46,335,122366.62,203562.14,0.139
247,2015,680282.85,339601.3,120,77610.76,212133.92,0.108
248,2015,508891.37,254815.12,263,93571.15,217076.72,0.117
249,2015,695433.87,208089.05,31,48128.19,184375.84,0.096
250,2017,334387.83,363752.08,258,92849.21,304290.44,0.111
251,2020,295594.11,321942.06,68,74385.67,87936.72,0.131
252,2015,493334.28,249232.92,61,109571.9,142005.21,0.08
253,2018,546087.85,184772.6,185,115621.58,192772.17,0.151
254,2019,496076.63,378521.16,101,157686.91,84976.78,0.195
255,2015,251906.95,358518.11,448,97389.0,187690.19,0.105
256,2017,489305.6,291074.17,310,89773.89,316302.91,0.226
257,2021,343463.66,466197.33,177,85831.53,201462.05,0.176
258,2020,580360.71,203692.37,235,69405.01,216149.06,0.202
259,2022,543991.79,162702.73,177,90154.52,111788.47,0.117
260,2017,387214.43,237728.27,481,71137.96,156854.7,0.193
261,2015,438335.97,295897.26,153,85053.83,173736.25,0.095
262,2020,372894.38,321900.55,86,119527.93,177759.94,0.195
263,2019,492478.51,278288.75,355,49803.72,289715.07,0.159
264,2015,614617.08,331684.99,26,114196.36,239038.37,0.178
265,2017,381712.87,187361.45,455,119513.45,122197.94,0.091
266,2016,560485.58,429938.81,33,76457.94,217255.33,0.105
267,2018,436369.09,292606.39,92,16344.35,234875.52,0.18
268,2022,404855.26,400556.62,418,61765.34,279810.43,0.103
269,2021,487156.36,330845.28,424,118909.84,310637.85,0.173
270,2017,375770.92,341107.79,182,79313.96,128943.41,0.082
271,2020,433562.08,351279.06,85,50020.93,143239.97,0.192
272,2022,356254.65,340293.77,366,64856.75,111969.55,0.088
273,2022,735767.02,357845.05,149,105218.6,183618.61,0.178
274,2022,504231.63,419623.73,438,96402.01,232645.09,0.181
275,2015,416032.94,317686.91,485,72832.04,269113.42,0.115
276,2018,525677.59,363810.34,225,68995.27,194683.43,0.179
277,2015,486520.63,291923.79,295,68247.26,177610.67,0.163
278,2020,473483.65,429610.55,485,52327.69,210623.06,0.123
279,2015,573700.0,239124.69,275,128461.27,141540.0,0.1
280,2016,590900.93,462084.64,285,70330.39,346267.71,0.052
281,2018,436339.86,296385.78,44,116514.76,87463.73,0.167
282,2018,430901.81,171230.24,469,125639.48,212931.84,0.072
283,2020,466993.8,311529.4,300,109949.33,341652.44,0.155
284,2021,223769.46,238705.35,272,67051.39,200475.99,0.137
285,2016,318177.07,375657.92,329,92111.9,186697.27,0.184
286,2017,664024.91,241263.84,308,79274.13,174978.82,0.135
287,2015,697396.13,259843.49,183,52888.94,187372.58,0.134
288,2019,470115.68,129941.33,114,89730.78,296099.39,0.187
289,2015,569186.84,259292.43,289,44628.81,45169.67,0.167
290,2022,537350.02,81850.86,340,115630.38,307340.36,0.166
291,2015,869465.7,157448.75,129,66061.48,100323.0,0.173
292,2017,634348.99,368437.32,355,86034.79,181334.34,0.073
293,2015,484649.89,370722.01,329,88498.64,169952.89,0.188
294,2016,385335.15,338291.18,257,72232.85,241198.73,0.181
295,2016,307226.44,212972.15,400,97600.81,88131.3,0.099
296,2018,524415.64,295705.98,455,65752.89,232352.09,0.138
297,2020,409237.91,299675.77,406,106138.92,341701.67,0.148
298,2021,329329.55,195747.18,444,39620.61,104577.82,0.143
299,2019,422411.25,435305.85,409,83791.39,213279.43,0.167
300,2022,370214.24,378962.61,44,138167.87,153661.25,0.222
301,2015,702457.0,280113.22,160,49990.06,229812.1,0.204
302,2015,605796.77,302419.73,136,59667.65,201340.34,0.084
303,2017,499043.28,318754.45,411,95417.24,155095.92,0.181
304,2020,677593.3,116243.86,424,85387.45,234151.06,0.216
305,2016,509284.2,277754.04,471,90518.9,326304.37,0.169
306,2019,396645.9,238621.42,44,94675.61,186636.73,0.205
307,2018,682774.89,209854.2,98,99041.64,250383.06,0.251
308,2016,564669.21,274700.97,87,113291.0,109470.89,0.201
309,2022,375530.46,461791.79,192,92294.56,133049.45,0.162
310,2020,477159.36,357675.86,463,72762.27,233068.44,0.202
311,2022,394925.81,248593.89,31,100177.21,303888.12,0.157
312,2021,334064.03,351532.45,307,136996.46,224892.93,0.151
313,2018,611141.31,425941.99,147,76020.99,178085.94,0.132
314,2021,729130.0,383217.03,115,50764.12,199950.4,0.228
315,2017,332171.89,305366.73,111,113212.42,112471.46,0.109
316,2022,567556.31,241775.69,160,76388.57,242316.07,0.227
317,2017,421922.89,362840.1,50,14819.91,261763.31,0.175
318,2015,441544.95,335413.68,353,105422.65,168353.68,0.08
319,2021,428912.73,380567.39,39,63940.15,167097.05,0.168
320,2020,396321.11,357165.46,165,77284.0,218611.48,0.045
321,2022,505822.6,394459.74,496,89959.41,169429.62,0.181
322,2019,400285.99,251828.83,335,85714.99,195370.72,0.194
323,2018,532454.82,418565.47,466,101283.55,346980.53,0.12
324,2016,493971.43,317783.96,409,66935.41,182708.2,0.156
325,2020,471326.23,486773.48,179,95393.17,174916.19,0.248
326,2020,391092.36,237973.1,368,72213.6,154672.07,0.125
327,2017,430787.44,456236.74,62,102164.31,252093.44,0.097
328,2021,590646.95,317811.97,273,98461.02,187314.31,0.224
329,2022,560110.06,241372.38,149,51936.84,154543.89,0.248
330,2022,382693.37,256450.27,79,112579.46,292491.28,0.15
331,2015,511919.88,271168.74,170,63921.1,299372.21,0.201
332,2015,590166.45,338174.94,486,104241.73,157970.35,0.217
333,2018,299671.37,347055.19,306,91018.62,69342.2,0.113
334,2017,565203.22,248367.0,24,135145.51,270525.96,0.126
335,2020,420485.15,297808.09,486,73296.02,152075.91,0.212
336,2022,568471.84,492804.33,437,69520.5,255343.79,0.234
337,2019,408408.9,455478.89,285,79417.41,62092.73,0.178
338,2017,283414.15,339269.13,364,70904.61,262481.81,0.106
339,2018,304694.91,303420.31,149,103998.26,115217.96,0.249
340,2018,505770.19,310802.82,401,31510.68,251153.49,0.123
341,2017,531166.7,355216.62,286,48389.53,200999.11,0.133
342,2018,391482.0,207948.67,197,47965.91,133224.24,0.167
343,2017,576631.1,276836.11,272,108509.23,171507.46,0.228
344,2016,300617.59,149827.43,434,131318.4,248042.29,0.193
345,2017,492070.42,335930.08,75,76866.52,207412.61,0.171
346,2021,354678.06,358247.63,482,74935.35,240908.91,0.173
347,2017,421779.67,256513.22,476,82101.56,338350.84,0.152
348,2018,505687.84,441658.81,490,114856.35,90503.09,0.178
349,2022,396750.4,189681.09,102,52179.41,313204.88,0.024
350,2021,453853.33,168206.26,412,87151.07,207304.92,0.135
351,2018,620755.14,320200.66,118,109255.93,137085.12,0.162
352,2015,430772.98,394238.85,168,95032.83,106878.05,0.092
353,2015,600283.05,451553.49,348,85687.45,186761.57,0.169
354,2022,364435.18,258700.42,175,110031.38,264515.51,0.14
355,2022,563576.5,397081.28,209,-1096.97,191071.56,0.238
356,2021,672988.23,296534.24,390,100336.26,305780.85,0.229
357,2016,203402.66,284463.54,282,60377.73,98417.7,0.127
358,2022,404372.57,379529.39,99,25081.01,199153.77,0.142
359,2015,569248.66,358709.06,419,95336.08,112332.46,0.146
360,2017,475634.55,158124.71,271,121209.76,225454.23,0.127
361,2018,544537.5,432888.63,116,75876.54,262082.12,0.16
362,2015,427521.78,424208.22,279,108586.24,170546.67,0.112
363,2015,510390.77,243699.36,279,128368.35,17705.03,0.093
364,2016,481318.73,335622.32,122,119447.43,213926.37,0.181
365,2021,640133.85,344462.72,59,129198.94,230571.7,0.181
366,2021,530530.5,323460.64,292,102263.82,228300.63,0.11
367,2020,540512.32,250472.54,120,82263.01,286504.75,0.195
368,2016,450574.76,239553.9,378,31941.03,125026.24,0.118
369,2017,441487.25,297700.13,399,72618.13,247615.13,0.163
370,2021,448093.02,405545.61,327,54702.6,283475.53,0.191
371,2018,547334.26,348924.01,240,145128.28,75498.87,0.148
372,2022,449481.86,266644.71,327,74723.43,222375.63,0.173
373,2016,534772.98,369452.88,439,83696.14,164707.41,0.124
374,2022,749048.1,43631.16,143,96544.56,194293.41,0.14
375,2015,604534.96,403388.91,441,81308.07,224337.35,0.14
376,2018,460877.18,143425.76,250,130851.53,165894.0,0.113
377,2018,644145.67,267380.32,197,61320.52,152700.43,0.141
378,2015,451030.96,199229.71,82,85838.22,202390.67,0.073
379,2016,255425.06,183478.67,135,57725.88,123892.78,0.125
380,2015,379029.64,404474.41,210,40399.32,123992.24,0.136
381,2022,275504.97,257906.89,81,61646.93,247556.13,0.137
382,2020,457818.38,331185.35,275,78888.9,119584.42,0.138
383,2018,502210.21,295777.15,26,67120.93,246641.88,0.147
384,2019,701172.48,342933.67,174,59227.37,232381.39,0.174
385,2019,539231.28,306913.97,111,37810.48,79193.53,0.194
386,2022,473707.94,184530.7,489,77506.83,152570.47,0.118
387,2017,599528.67,389664.01,33,34858.39,283587.66,0.09
388,2021,234663.76,255561.91,474,102801.68,131318.41,0.098
389,2015,528273.75,159907.63,248,82473.19,167491.7,0.126
390,2015,592503.82,261469.64,105,36273.46,232344.26,0.132
391,2017,322569.65,435068.38,152,70723.73,254837.34,0.112
392,2017,637250.49,376519.96,202,57435.31,182392.28,0.085
393,2022,540619.57,268621.31,405,89575.24,158174.29,0.127
394,2022,450165.45,268566.81,81,120213.51,299565.89,0.159
395,2017,575933.82,271052.85,238,23744.83,321722.98,0.18
396,2018,772483.14,486907.32,424,83450.78,268520.06,0.122
397,2022,521823.95,334374.19,265,75196.02,205972.27,0.129
398,2020,529786.47,338703.75,249,100140.2,143421.4,0.104
399,2022,444876.69,392725.51,98,86395.9,141868.89,0.148
400,2015,398018.68,321491.02,168,57440.92,236575.99,0.108
401,2022,599640.3,276686.21,157,70428.38,229287.88,0.179
402,2018,397269.94,282328.51,490,56119.22,298111.9,0.061
403,2017,508587.95,293555.89,333,112280.21,245531.51,0.132
404,2015,442681.11,296650.0,395,80639.35,94784.38,0.165
405,2022,557477.58,365486.66,442,137035.72,273636.33,0.159
406,2018,540039.45,304675.13,408,78180.18,130135.76,0.285
407,2020,624504.79,365937.61,84,58747.8,173122.01,0.167
408,2022,438798.03,292735.51,32,34588.57,217514.01,0.1
409,2018,467615.01,307077.17,232,25905.81,339696.72,0.145
410,2020,382548.35,120161.94,493,32475.92,417694.3,0.061
411,2017,446684.81,382469.49,261,88013.8,242470.61,0.146
412,2022,545276.06,331183.96,232,95261.75,187176.24,0.108
413,2020,590838.63,389820.91,200,32564.28,237415.4,0.196
414,2015,389340.16,39337.02,357,106851.15,262135.88,0.123
415,2017,604352.71,487953.72,192,65508.17,177553.27,0.144
416,2015,662676.54,287436.93,179,84403.79,325664.79,0.118
417,2019,549612.19,399736.45,183,128366.62,216104.95,0.237
418,2016,725215.5,206408.47,484,106905.18,234842.02,0.134
419,2022,407145.3,355149.65,207,71944.08,246614.7,0.242
420,2020,350641.44,205192.6,414,53264.23,229511.06,0.191
421,2016,286553.57,243860.79,210,15445.54,258725.84,0.174
422,2016,679525.32,472262.82,424,58425.4,156792.28,0.168
423,2020,578523.88,282838.58,327,73666.09,160918.88,0.17
424,2017,493329.84,319568.96,275,50384.61,122989.2,0.054
425,2022,533596.24,378306.1,202,76062.29,230765.09,0.136
426,2019,364941.31,344611.37,136,82305.56,254525.56,0.192
427,2015,793490.24,313537.7,301,73254.32,232044.1,0.148
428,2018,515506.54,332846.49,215,60499.92,317214.47,0.08
429,2015,513127.38,516307.4,53,85059.64,199608.28,0.147
430,2018,587091.99,294814.31,71,93258.22,246811.92,0.235
431,2015,557721.11,318098.91,131,47288.03,123580.94,0.212
432,2020,526866.08,394558.9,271,122327.97,172903.02,0.147
433,2019,405143.07,399497.33,101,77042.36,248687.64,0.198
434,2022,556576.2,406832.73,251,80565.49,259437.15,0.132
435,2018,725842.94,357485.72,246,101246.43,179422.31,0.065
436,2022,661450.41,197129.56,252,86996.48,194988.05,0.104
437,2022,691182.4,447008.84,240,108594.1,93748.84,0.228
438,2022,438654.12,196828.91,455,88613.72,175007.96,0.136
439,2021,381247.42,327237.19,432,61626.88,262326.82,0.138
440,2017,484905.57,232115.17,441,90845.11,240264.35,0.135
441,2015,506686.99,294227.55,61,45688.21,235046.6,0.245
442,2022,631302.98,329588.62,40,83256.79,203484.16,0.231
443,2015,296904.24,328922.15,61,79003.1,200494.42,0.261
444,2022,683546.04,337972.87,416,73756.49,153777.52,0.142
445,2018,481039.05,445234.01,132,76143.87,248917.99,0.165
446,2017,448774.27,340818.09,124,23544.53,229468.11,0.074
447,2017,378547.47,278025.9,211,63538.25,234441.32,0.224
448,2020,301417.2,386767.85,36,82785.35,163177.56,0.092
449,2021,598780.47,407052.34,139,84795.69,49266.0,0.161
